identifier,mediaType,accessLevel,source,title,duration,recordedDate,digitizedFromFormat,description,person,producer,rightsholder,client,generation,internalNote,Merknader,Digitalisert,Merknad
3204,video,lukket,Videoproduksjon_Mastertape,Forberedelse til kirurgi.,00:09:40,1983-12-31T23:00:00Z,U-MaticLB,"Instruksjon av prosedyrer ved oral kirurgi: Påkledning, Håndvask, Steril oppdekning.",Trond Berge,Lars Skjold Wilhelmsen,UMS,,Master,,,,
3205,video,lukket,Videoproduksjon_Mastertape,Kvinnemessa 1985,00:23:10,1985-05-01T00:00:00Z,U-MaticLB,"Studenter gjør de noe da?. ""Tradisjonelle kvinneyrker"".   ""Akademisk frihet - frihet med mange ansvar"". Program laget for visning på kvinnemessa ""Klart vi kan"" i Bergenshallen 1985.","Anne B. Osland|,|Susanne Knutsen|,|Asta Berntsen|,|Turid Mattson|,|Thelma Kraft|,|Bente Sommersten",Marianne Giske,UMS,,Master,,,,
3208,video,lukket,Videoproduksjon_Mastertape,Dave Allen,,1980-12-26T23:00:00Z,U-MaticHB,Dave Allen program. 31/12: Året i bilder,,,,,Dub,,,,
3212,video,lukket,Videoproduksjon_Mastertape,Revmatisme,,1982-05-18T00:00:00Z,U-MaticHB,Opptak fra NRK??,,,,,Dub,,,,
3213,video,lukket,Videoproduksjon_Mastertape,Smertelindring. 1,00:33:00,1984-10-31T23:00:00Z,U-MaticLB,"Smerte, opplevelser og konsekvenser.  Smertelindring med opiatmikstur.  Myter om bruk av smertestillende.  Pleiepersonalets rolle i smertebehandlingen.",Stein Husebø,Marianne Giske,UMS,,Dub,,,,
3214,video,lukket,Videoproduksjon_Mastertape,Smertelindring. 2,00:41:00,1984-10-31T23:00:00Z,U-MaticLB,"Alternative smertebehandlingsmuligheter, spesielt morfin gjennom epiduralkateter.  Pasientens helhetssituasjon.",Stein Husebø,Marianne Giske,UMS,,Dub,,,,
3215,video,lukket,Videoproduksjon_Mastertape,Offisiell åpning av Haukeland Sykehus.,01:00:00,1983-11-22T23:00:00Z,U-MaticLB,Offisiell åpning av Haukeland Sykehus.,"Kronprins Harald|,|Kronprinsesse Sonja",Lars Skjold Wilhelmsen,UMS,,Master,"X Frode, noe tapefeil",,X Frode,noe tapefeil
3216,video,lukket,Videoproduksjon_Mastertape,Hygiene på tannlegekontor.,00:42:00,1983-12-31T23:00:00Z,U-MaticLB,Hygiene på tannlegekontor ved normal tannbehandling og hvordan man ved behandling av hepatitt-B pasienter må iverksette spesielle hygienetiltak.,"Ståle Myklebust|,|Nils Skaug",Lars Skjold Wilhelmsen,UMS,,Master,,,,
3217,video,lukket,Videoproduksjon_Mastertape,se innhold,00:42:00,1982-01-28T23:00:00Z,U-MaticHB,"Video 80 en demo-tape. ""Performance"" ved Halldor Asgeirson i Bergens kunstforening, ""Function and structure in primitive video processing"" - en Antrofilm (studentproduksjon)",,,UMS,,Dub,,,,
3218,video,lukket,Videoproduksjon_Mastertape,Programutsnitt.,00:16:00,,U-MaticHB,"I vekternes spor.  ""Hvor seiler vi?"".  Medisinsk forskningssenter.  Barneavdelingen, Sentralblokken, Haukeland Sykehus.  ""Linda og Børge hos tannlegen"".  ""Anafylaktisk sjokk"".  ""Ulver"".",,,UMS,,Dub,,,,
3219,video,lukket,Videoproduksjon_Mastertape,AV-avdelingens Videogrammer. 1,01:00:00,1984-06-01T00:00:00Z,U-MaticHB,"En redigert eksempelsamling over videogrammer produsert ved AV-avdelingen, UiB.",,,UMS,,Master,,,,
3220,video,lukket,Videoproduksjon_Mastertape,AV-avdelingens videogrammer. 2,00:33:00,1984-06-01T00:00:00Z,U-MaticHB,"En redigert eksempelsamling over videogrammer produsert ved AV-avdelingen, UiB.",,,UMS,,Master,,,,
3224,video,lukket,Videoproduksjon_Mastertape,Polyklonal antistoffproduksjon hos kanin.,,1984-03-18T23:00:00Z,U-MaticHB,Polyklonal Antistoff-produksjon hos kanin,M. Fosse,,UMS,,Master,,,,
3225,video,lukket,Videoproduksjon_Mastertape,Short term dynamic therapy evaluation,,,U-MaticHB,Primærintervju  for evaluering av adekvat terapiform.,,,UMS,,Master,,,,
3227,video,lukket,Videoproduksjon_Mastertape,Kjersti.,00:42:48,1984-09-01T00:00:00Z,U-MaticHB,"Opptak for Norsk Forening til Kreftens Bekjempelse og Barneklinikken, Haukeland Sykehus",Atle Dyregrov,,UMS,,Master,,,,
3228,video,lukket,Videoproduksjon_Mastertape,Når et barn dør plutselig.,00:57:00,1984-08-17T00:00:00Z,U-MaticLB,Psykolog Atle Dyregrov intervjuer mor som plutselig har mistet sitt barn.,Atle Dyregrov,Stein Isaksen,UMS,,Master,,,,
3229,video,lukket,Videoproduksjon_Mastertape,Ka i all Bergen!?,00:53:00,1980-03-22T23:00:00Z,U-MaticHB,"Ka i all Bergen!?,  Uken 80 - NHH.",,Stein Isaksen,UMS,,Master,,,,
