identifier,mediaType,accessLevel,source,title,duration,recordedDate,digitizedFromFormat,description,person,producer,rightsholder,client,generation,internalNote,Merknader,Digitalisert,Merknad
3874,video,lukket,Videoproduksjon_Mastertape,Ivana 1,00:30:00,1992-10-31T23:00:00Z,BetacamSP,Opptak av scener til videoplateprosjektet Ivana 1,,Arnt Brandseth,Univisjon,,Master,,,,
3875,video,lukket,Videoproduksjon_Mastertape,Ivana 2,00:30:00,1992-10-31T23:00:00Z,BetacamSP,Opptak av scener til videoplateprosjektet Ivana 2,,Arnt Brandseth,Univisjon,,Master,,,,
3882,video,lukket,Videoproduksjon_Mastertape,Fjernord,,,"1"" C",Fjernord-forelesninger:,"Ole-Jørgen Johannessen|,|Jarle Rønhovd|,|Asbjørn Aarseth",Xavier Bonète,Univisjon,,Master,,,,
3902,video,lukket,Videoproduksjon_Mastertape,Familiedag 1992,00:12:05,1992-06-01T00:00:00Z,BetacamSP,"Reportasje fra Hydro sin familiedag på Sandsli 1992. Il Tempo Gigante, videograf(Ivo Caprino), Hydros Forskningssenter",Ivo Caprino,Nils Arne Sæbø,Hydro,Hydro,,,,,
3937,video,lukket,Videoproduksjon_Mastertape,IVANA 1,00:30:00,1992-10-31T23:00:00Z,BetacamSP,"Scener og bilder til IVANA, master for videoplate.",,Arnt Brandseth,UMS,,Master,,,,
3938,video,lukket,Videoproduksjon_Mastertape,IVANA 2,00:30:00,1992-10-31T23:00:00Z,BetacamSP,"Scener og bilder til IVANA, master for videoplate.",,Arnt Brandseth,UMS,,Master,,,,
3947,video,lukket,Videoproduksjon_Mastertape,Kavli Knekkebrød + kaviar,,1992-10-31T23:00:00Z,BetacamSP,Reklamespot (ikke brukt) gutt som spør etter knekkebrød med kaviar,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
3967,video,lukket,Videoproduksjon_Mastertape,Univers 5000:Alle andre får jo barn.,00:29:01,1992-11-16T23:00:00Z,BetacamSP,Alle andre får jo barn,,Arnt Øivind Siem,UMS,,Dub,TV2,TV2,,
3978,video,lukket,Videoproduksjon_Mastertape,Univers 5000: Kosthold med bismak.,00:26:14,1993-09-10T00:00:00Z,BetacamSP,Kosthold med bismak.,,Arnt Øivind Siem,UMS,,Master,X Frode,,X Frode,
3979,video,lukket,Videoproduksjon_Mastertape,Hjerne og adferd,,1996-04-01T00:00:00Z,,"Hjerne og adferd, ferdig redigerte reportasjer",Kenneth Hugdahl,Arnt Brandseth,,NKI,Master,,,,
3990,video,lukket,Videoproduksjon_Mastertape,Fjernord,,1992-12-02T23:00:00Z,"1"" C","Diverse innslag og reportasjer brukt i Fjernord, Et Dukkehjem i Sjangeren dramatikk.",,May-Britt Skjelvik,Univisjon,,Master,,,,
3991,video,lukket,Videoproduksjon_Mastertape,Fjernord,,,"1"" C",Diverse innslag og reportasjer brukt i Fjernord,,May-Britt Skjelvik,Univisjon,,Master,,,,
4007,video,lukket,Videoproduksjon_Mastertape,Reform -94.,01:00:00,1993-09-30T23:00:00Z,"1"" C",Reform -94: Program 1 + 2,,Arnt Brandseth,UMS,KUF,Dub,,,,
4021,video,lukket,Videoproduksjon_Mastertape,Vitalrevyen 1992,00:09:00,1992-12-14T23:00:00Z,BetacamSP,Vitalrevyen 1992,,Nils Arne Sæbø,Vital,Vital,,,,,
4031,video,lukket,Videoproduksjon_Mastertape,Fjernord Trailer.,00:13:00,1993-09-01T00:00:00Z,BetacamSP,Trailer Fjernord.,Arnt Øyvind Siem,May-Britt Skjelvik,Univisjon,SEVU,Master,NRK,NRK,,
4042,video,lukket,Videoproduksjon_Mastertape,Voluspå. L2,00:05:32,1993-06-01T00:00:00Z,BetacamSP,Reportasje om Voluspå,"Gro Steinsland|,|Riss dansekompani",May-Britt Skjelvik,Univisjon,,Master,,,,
4052,video,lukket,Videoproduksjon_Mastertape,Univers 5000: Frisk via TV-skjermen.,00:25:42,1993-09-10T00:00:00Z,BetacamSP,Frisk via TV-skjermen.,,Arnt Øivind Siem,UMS,,Master,,,,
4069,video,lukket,Videoproduksjon_Mastertape,Måkeskit.,00:00:28,1992-05-01T00:00:00Z,BetacamSP,"Reklamespot om tiøren som går ut av bruk, Statens Info-tjeneste",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4069,video,lukket,Videoproduksjon_Mastertape,Bussen.,00:00:43,1992-05-01T00:00:00Z,BetacamSP,"Reklamespot om tiøren som går ut av bruk, Statens Info-tjeneste",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4070,video,lukket,Videoproduksjon_Mastertape,Stopp narkotika.,,1992-05-01T00:00:00Z,BetacamSP,"Statens informasjonstjeneste, Reklamespot om narkotika, jul, mann med liten jente og fotoalbum",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4078,video,lukket,Videoproduksjon_Mastertape,Sjukdom på Akvariefisk.,00:03:00,1994-09-01T00:00:00Z,BetacamSP,Reportasje til Ut i Naturen på sjukdom på Akvariefisk og risiko med dette!,Forsker Arne Larsen,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,"NRK, X Frode",NRK,X Frode,
4084,video,lukket,Videoproduksjon_Mastertape,Paralellkjøring med Kværner MDS.,00:06:00,1992-09-30T23:00:00Z,BetacamSP,Katamaranbåter med og uten MDS ved Marsteinen,,Nils Arne Sæbø,"Kværner|,|AG Visuell",Kværner/AG Visuell,,,,,
4123,video,lukket,Videoproduksjon_Mastertape,Det norske 3: Bare på museum?,00:28:00,1993-10-15T23:00:00Z,BetacamSP,Det Norske: Bare på museum,,Bjørn Vassnes,Univisjon,,Master,NRK,NRK,,
4132,video,lukket,Videoproduksjon_Mastertape,Yard Number 1612,00:03:00,1993-03-31T00:00:00Z,BetacamSP,"Dokumentasjon av maskinrom, styrehus og interiør av katamaranbåt, Yard Number 1612",,Arnt Brandseth,Kværner Fjellstrand,Kværner Fjellstrand,Master,,,,
4162,video,lukket,Videoproduksjon_Mastertape,Fjernord,01:55:35,1996-12-10T23:00:00Z,"1"" C",Fjernord kopieringsmaster: 1: Presentasjon. 2: Å studere nordisk. 3: Teorier om litteratur.,"Magne Eide Møster|,|Asbjørn Aarseth",May-Britt Skjelvik,Univisjon,,Dub,"Ligger hos SEVU, Magne Eide Møster (1+2)","Ligger hos SEVU, Magne Eide Møster (1+2)",,
4168,video,lukket,Videoproduksjon_Mastertape,Fjernord,00:29:39,1993-06-28T00:00:00Z,"1"" C",Fjernord: Den norrøne litteraturen,Bjarne Fidjestøl,May-Britt Skjelvik,Univisjon,,Master,NRK,NRK,,
4170,video,lukket,Videoproduksjon_Mastertape,Fjernord,00:30:40,1993-06-21T00:00:00Z,"1"" C",Fjernord: Presentasjon av Fjernord.,Magne Eide Møster,May-Britt Skjelvik,Univisjon,,Master,NRK,NRK,,
4171,video,lukket,Videoproduksjon_Mastertape,Fjernord,00:29:37,1993-05-14T00:00:00Z,"1"" C","Fjernord: Oppbyggelse, oppdragelse, fornøyelse 1536 -1800",Asbjørn Aarseth,May-Britt Skjelvik,Univisjon,,Master,NRK,NRK,,
4172,video,lukket,Videoproduksjon_Mastertape,Fjernord,,,"1"" C",Fjernord: Innslag i Sjangeren dramatikk: Henrik Wergeland og friheten.,,May-Britt Skjelvik,Univisjon,,Master,,,,
4185,video,lukket,Videoproduksjon_Mastertape,"Folk of the Sea, in Consert",,,BetacamSP,"Konsertopptak av ""Folk of the Sea, in Consert"" lydkopiert fra lydkassett. Bilde: Undervannsopptak av strandnot, Animasjon: Strømforhold i Nordsjøen",,,Folk of the Sea,,Dub,,,,
4189,video,lukket,Videoproduksjon_Mastertape,Filmen om Edvard Grieg.,00:17:00,1993-04-10T00:00:00Z,BetacamSP,Film om Edvard Griegs liv og musikk. Norsk.,,Nils Arne Sæbø,Univisjon,,Dub,,,,
4193,video,lukket,Videoproduksjon_Mastertape,Fjernord 17 og 20,01:50:00,1993-09-01T00:00:00Z,BetacamSP,"Fjernord videoforelesninger nr 17. Morfologi, ordklassar i norsk. 43:10 Fjernord videoforelesninger 20. ""Du skakje kadla meg Annemor lenger"". 28:50","Jarle Rønhovd|,|Margareth Sandvik",Xavier Bonète,Univisjon,SEVU,Master,NRK,NRK,,
4195,video,lukket,Videoproduksjon_Mastertape,Reform-94. Læreplanene og det utvidete kunnskapsbegrepet.,00:30:00,1993-10-19T23:00:00Z,BetacamSP,Reform -94 program 2,,Arnt Brandseth,Univisjon,KUF,Dub,,,,
4195,video,lukket,Videoproduksjon_Mastertape,Reform-94. Evaluering i videregående opplæring.,00:30:00,1993-10-19T23:00:00Z,BetacamSP,Reform -94 program 3,,Arnt Brandseth,Univisjon,KUF,Dub,,,,
4196,video,lukket,Videoproduksjon_Mastertape,Fjernord 19 og 23,01:50:00,1993-09-01T00:00:00Z,BetacamSP,Fjernord videoforelesninger 19: Omforming av setningar og setningsledd. 40:12 Fjernord videoforelesninger 23: Rettskrivningshistorie. 25:00,"Lars Vassenden|,|Ole-Jørgen Johannessen",Xavier Bonète,Univisjon,,Master,NRK,NRK,,
4198,video,lukket,Videoproduksjon_Mastertape,Fjernord,01:50:00,1993-09-01T00:00:00Z,BetacamSP,Fjernord videoforelesninger,"Helge Sandøy|,|Asbjørn Aarseth",Xavier Bonète,Univisjon,,Master,NRK,NRK,,
4199,video,lukket,Videoproduksjon_Mastertape,Fjernord,01:50:00,1993-09-01T00:00:00Z,BetacamSP,Fjernord videoforelesninger 12 og 13 Folkediktning. Masselitteratur.,"Olav Solberg|,|Geir Hjorthol",Xavier Bonète,Univisjon,,Master,NRK,NRK,,
4200,video,lukket,Videoproduksjon_Mastertape,Fjernord 18 og 15,01:50:00,1993-09-01T00:00:00Z,BetacamSP,Fjernord videoforelesninger nr 15: Syntaktiske mønster. 44:00 Fjernord videoforelesninger nr 18: Eldre språkhistorie. 34:20,"Lars Vassenden|,|Ole-Jørgen Johannessen",Xavier Bonète,Univisjon,SEVU,Master,,,,
4208,video,lukket,Videoproduksjon_Mastertape,Kværner Fjellstrand MDS Clipper. ver. 2,00:06:00,1993-05-26T00:00:00Z,BetacamSP,Kværner Fjellstrand film om MDS Clipper foilsystem uten intervju,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4210,video,lukket,Videoproduksjon_Mastertape,Kavli sjørøver.,00:00:30,1993-05-01T00:00:00Z,BetacamSP,Reklamespot Kavli-sjørøverfamilie på strandtur,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4213,video,lukket,Videoproduksjon_Mastertape,"Fjernord S10: ""Dansk språk"".",05:39:23,1994-01-03T23:00:00Z,BetacamSP,"Fjernord  ""Dansk språk"". Video 26",Peter Kirkegaard,May-Britt Skjelvik,UMS,,Master,NRK,NRK,,
4242,video,lukket,Videoproduksjon_Mastertape,Reform -94,,,BetacamSP,"Reform -94 program 1, ikke fullført",,Arnt Brandseth,Univisjon,KUF,Master,,,,
4251,video,lukket,Videoproduksjon_Mastertape,Fjernord,01:50:00,1993-09-01T00:00:00Z,BetacamSP,Fjernord videoforelesninger Barnelitteratur. Nr 16,"Magne Møster|,|Ture Schwebs",Xavier Bonète,Univisjon,,Master,,,,
4253,video,lukket,Videoproduksjon_Mastertape,Fjernord,00:29:01,1993-06-14T00:00:00Z,"1"" C",Fjernord: Romantikken - sannhet og skjønnhet? 1800 - 1864.,Vigdis Ystad,May-Britt Skjelvik,Univisjon,,Master,,,,
4255,video,lukket,Videoproduksjon_Mastertape,Fjernord,00:28:44,1993-06-30T00:00:00Z,"1"" C",Fjernord: Den moderne tilstand 1864 - 1905,Sigurd Aarnes,May-Britt Skjelvik,Univisjon,,Master,,,,
4256,video,lukket,Videoproduksjon_Mastertape,Fjernord,00:29:00,1993-07-01T00:00:00Z,"1"" C",Fjernord: Jakta på samanheng i det meingslause. 1905 - 1945,Otto Hageberg,May-Britt Skjelvik,Univisjon,,Master,,,,
4259,video,lukket,Videoproduksjon_Mastertape,Fjernord,03:05:01,1997-05-12T00:00:00Z,"1"" C",Fjernord: Kopimaster video 9-14.,,May-Britt Skjelvik,Univisjon,,Dub,,,,
4267,video,lukket,Videoproduksjon_Mastertape,Reform -94. Bakgrunn og innhold,,1993-09-10T00:00:00Z,BetacamSP,Reform -94. program 1 Bakgrunn og innhold.,,Arnt Brandseth,UMS,KUF,Master,,,,
4270,video,lukket,Videoproduksjon_Mastertape,Genene avslører deg.,,1993-10-14T23:00:00Z,BetacamSP,Genene avslører deg.,,Nils Arne Sæbø,UMS,,Master,,,,
4274,video,lukket,Videoproduksjon_Mastertape,Flyttefolk.,,,BetacamSP,Reklamespot for Bergens Tidende,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4274,video,lukket,Videoproduksjon_Mastertape,Morgenstemning med isskrape.,,,BetacamSP,Reklamespot for Bergens Tidende,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4275,video,lukket,Videoproduksjon_Mastertape,Narkotips.,00:00:40,1993-02-28T23:00:00Z,BetacamSP,"Statens informasjonstjeneste, Reklamespot om narkotika, timeglass og telefonledning.",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4276,video,lukket,Videoproduksjon_Mastertape,Bergen Fil. Orkester,00:00:42,,BetacamSP,Reklamespot for konserter med Bergen Fil. Orkester,"Dag Lindebjerg|,|Kitajenko",Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4277,video,lukket,Videoproduksjon_Mastertape,Solberg dekk.,,1992-03-31T00:00:00Z,"1"" C",Reklamespot for Vesta forsikring og Solberg dekk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4277,video,lukket,Videoproduksjon_Mastertape,Vesta forsikring.,,1992-03-31T00:00:00Z,"1"" C",Reklamespot for Vesta forsikring og Solberg dekk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4278,video,lukket,Videoproduksjon_Mastertape,Foilcat demobåt.,00:06:33,1989-12-31T23:00:00Z,"1"" C",Kværner Fjellstrand video om den første modell av Foilcat,,Nils Arne Sæbø,"Kværner|,|AG Visuell",,,,,,
4279,video,lukket,Videoproduksjon_Mastertape,Foilcat i høg sjø.,00:04:09,1992-12-31T23:00:00Z,"1"" C",Kværner Fjellstrand video om Foilcat i høy sjø ved Marsteinen fyr,,Nils Arne Sæbø,Kværner,Kværner,,,,,
4280,video,lukket,Videoproduksjon_Mastertape,Kværner Eureka gassturbinservice.,00:10:12,1991-07-01T00:00:00Z,"1"" C",Industrifilm om Kværner Eureka sitt verksted for gassturbiner på Ågotnes,,"KTV|,|Nils Arne Sæbø","Kværner Eureka|,|AG V",Kværner Eureka / AG V,Master,,,,
4281,video,lukket,Videoproduksjon_Mastertape,Lagunen,00:14:00,1992-05-19T00:00:00Z,"1"" C","Reklamespot for været TV-Bergen, animasjon Lagunen",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4282,video,lukket,Videoproduksjon_Mastertape,Vital 2 år,00:11:00,1991-12-31T23:00:00Z,"1"" C",Infofilm om Vitals 2 års feiring,,"KTV|,|Nils Arne Sæbø","KTV|,|Vital",Vital,,,,,
4283,video,lukket,Videoproduksjon_Mastertape,Capa,,,BetacamSP,"Animasjon for byrå som selger kinoreklame i Bergen, senere overspilt til 35 mm film.",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4284,video,lukket,Videoproduksjon_Mastertape,Opal enquete,00:00:36,,U-Matic,"Reklamespot Opal, enquete i butikk",,"KTV|,|Nils Arne Sæbø",AG Visuell,AG Visuell,,,,,
4284,video,lukket,Videoproduksjon_Mastertape,Opal bleier,00:00:40,,U-Matic,"Reklamespot Opal, på kvinneklinikken",,"KTV|,|Nils Arne Sæbø",AG Visuell,AG Visuell,,,,,
4285,video,lukket,Videoproduksjon_Mastertape,Opal kyllingbiter,,,U-Matic,"Reklamespot Opal, kyllingbiter og Cola",,"KTV|,|Nils Arne Sæbø",AG Visuell,AG Visuell,,,,,
4286,video,lukket,Videoproduksjon_Mastertape,BNR,00:00:30,1991-08-14T00:00:00Z,U-Matic,Reklamespot BNR bussreklame,Frode Rasmussen,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4287,video,lukket,Videoproduksjon_Mastertape,Stopp hærværk!,00:00:40,,U-MaticHB,Reklamespot for Bergen kommune: Mot hærværk.,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4288,video,lukket,Videoproduksjon_Mastertape,Lagunen reklame,00:00:45,,U-MaticSP,Reklamespot for Lagunen. Folk som handler på Lagunen,,Ole Bjørn Kringstad,AG Visuell,AG Visuell,,,,,
4289,video,lukket,Videoproduksjon_Mastertape,Dale garn. engelsk,00:05:05,,Betacam,AV-serie,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4290,video,lukket,Videoproduksjon_Mastertape,Videregående skule som ressurssenter.,00:08:00,1990-02-28T23:00:00Z,"1"" C",Reportasje fra Fjernundervisning Vest og gruppe på Askøy videregående skole.,,"KTV|,|Nils Arne Sæbø","KTV|,|UMS",Hordaland næringserv,,,,,
4296,video,lukket,Videoproduksjon_Mastertape,WG - tunellduk,00:07:09,1991-12-31T23:00:00Z,BetacamSP,Industrifilm for W-Giertsen om vann- og fuktsikring av tuneller og fjellhaller,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4297,video,lukket,Videoproduksjon_Mastertape,S6S norsk,00:15:00,,Betacam,AV-serie norsk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4298,video,lukket,Videoproduksjon_Mastertape,S6S engelsk,00:15:00,,Betacam,AV-serie engelsk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4299,video,lukket,Videoproduksjon_Mastertape,Vital,,,Betacam,Lysbildeserie i forbindelse med etableringen av Vital,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4300,video,lukket,Videoproduksjon_Mastertape,PAN-trafikk,00:12:00,,Betacam,AV-serie,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4301,video,lukket,Videoproduksjon_Mastertape,Bontelab,,,BetacamSP,"AV-serie Bontelabo/Ribers eiendom, norsk spor 1, engelsk spor 2",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4301,video,lukket,Videoproduksjon_Mastertape,Teigland briller i30 år,00:19:02,,BetacamSP,AV-serie Teigland briller i 30 år.,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4302,video,lukket,Videoproduksjon_Mastertape,NB - Steel,,,Betacam,AV-serie norsk NB-steel,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4303,video,lukket,Videoproduksjon_Mastertape,W. Giertsen Skipshandler.,,,Betacam,AV-serie norsk og engelsk W. Giertsen Skipshandler,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4304,video,lukket,Videoproduksjon_Mastertape,Lerøy fisk,,,Betacam,AV-serie norsk og engelsk  Lerøy Fisk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4305,video,lukket,Videoproduksjon_Mastertape,"Bontelabo, Rieber eiendom.",00:14:00,,Betacam,"AV-serie norsk Bontelabo, Rieber eiendom",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4328,video,lukket,Videoproduksjon_Mastertape,Fjernord presentasjon,00:11:12,1993-09-30T23:00:00Z,BetacamSP,"Fjernord. Utdrag fra magasinprogram L3 og videoforelesning, visningsmaster på Bryggen Museum",,May-Britt Skjelvik,Univisjon,,Master,,,,
4350,video,lukket,Videoproduksjon_Mastertape,Fjernord S8,00:36:00,1993-10-31T23:00:00Z,BetacamSP,"Reportasjer til Fjernord: Fra Målselv, Midøya, Honningsvåg. Sigbjørn Johnsen, Lars Andreas Larsen, Flettfrid, barn leker","Sigbjørn Johnsen|,|Lars A. Larsen|,|Fletfrid|,|Margido Esp",Arnt Øivind Siem,Univisjon,,Master,X Frode,,X Frode,
4356,video,lukket,Videoproduksjon_Mastertape,Hydro fortøying,,1993-10-06T23:00:00Z,BetacamSP,Sikkerhetsrutiner ved fortøying av tankskip på Hudros terminal på Sture.,,Nils Arne Sæbø,AG Visuell,Hydro/AG V,Master,,,,
4357,video,lukket,Videoproduksjon_Mastertape,Fjernord L7.,00:19:00,1993-11-30T23:00:00Z,BetacamSP,"Fjernord. Reportasjer om Rolf Jacobsen, Karin Moe, Om danske dialekter","Rolf Jacobsen|,|Karin Moe|,|Erik Hansen|,|Jørn Lund",May-Britt Skjelvik,Univisjon,SEVU,Master,"Rolf Jacobsen, Karin Moe, Prof. Erik Hansen, Prof. Jørn Lund., X Frode","Rolf Jacobsen, Karin Moe, Prof. Erik Hansen, Prof. Jørn Lund.",X Frode,
4360,video,lukket,Videoproduksjon_Mastertape,"Jakten på det norske: ""Der kongen tar trikken.""",00:24:07,1993-10-14T23:00:00Z,BetacamSP,Der kongen tar trikken.,,Bjørn Vassnes,UMS,NAVF/NRK,Master,NRK,NRK,,
4361,video,lukket,Videoproduksjon_Mastertape,"Jakten på det norske: ""Et folk på tur.""",00:24:24,1993-10-14T23:00:00Z,BetacamSP,Et folk på tur.,,Bjørn Vassnes,UMS,NAVF/NRK,Master,NRK,NRK,,
4362,video,lukket,Videoproduksjon_Mastertape,"Jakten på det norske: ""Bare på museum.""",00:24:46,1993-10-14T23:00:00Z,BetacamSP,Bare på museum.,,Bjørn Vassnes,UMS,NAVF/NRK,Master,NRK,NRK,,
4380,video,lukket,Videoproduksjon_Mastertape,"Narkotips ""Timeglasset"".",00:00:35,1993-10-19T23:00:00Z,BetacamSP,"Stopp narkotika reklame for SI, versjon med ""80"" telfonnumre",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4390,video,lukket,Videoproduksjon_Mastertape,"Fjernord S8B: ""Dannet talemål eller stygge dialekter"".",00:29:27,1994-01-12T23:00:00Z,BetacamSP,"Fjernord  ""Dannet talemål eller stygge dialekter"".",Helge Sandøy,Arnt Øivind Siem,UMS,,Master,NRK,NRK,,
4391,video,lukket,Videoproduksjon_Mastertape,Sealift engelsk,,1994-03-09T23:00:00Z,BetacamSP,Sealift engelsk,,Nils Arne Sæbø,,,Master,,,,
4395,video,lukket,Videoproduksjon_Mastertape,"Fjernord S8A: ""Dialektlandet Norge"".",00:30:17,1994-01-12T23:00:00Z,BetacamSP,"Fjernord  ""Dialektlandet Norge"".",Helge Sandøy,Arnt Øivind Siem,UMS,,Master,NRK,NRK,,
4398,video,lukket,Videoproduksjon_Mastertape,"Fjernord L8: ""1965 - 1990.""",00:29:58,1993-12-08T23:00:00Z,BetacamSP,"Fjernord L8 ""1965 - 1990""",,May-Britt Skjelvik,UMS,,Master,NRK,NRK,,
4402,video,lukket,Videoproduksjon_Mastertape,"Fjernord L7: ""1945 - 1965.""",00:30:28,1993-12-06T23:00:00Z,BetacamSP,"Fjernord L7  ""1945 - 1965"" Den moderne tilstand i moderne utgave.",Per Buvik,May-Britt Skjelvik,UMS,,Master,NRK,NRK,,
4406,video,lukket,Videoproduksjon_Mastertape,Fjernord,02:35:17,1994-01-17T23:00:00Z,"1"" C","Kopimaster for Fjernord. Video 19-23. (gammel) 1: Omformingar av setningar og setningsledd. 2: Du skakje kadla meg Annemor lenger. 3: Dialektlandet Norge, Geografisk variasjon. 4: Dannet talemål eller stygge dialekter, sosial variasjon. 5: Rettskrivingshistorie.","Lars Vassenden|,|Margareth Sandvik|,|Helge Sandøy|,|Ole-Jørgen Johannessen",May-Britt Skjelvik,Univisjon,,Dub,Kopieringsmaster,Kopieringsmaster,,
4414,video,lukket,Videoproduksjon_Mastertape,Vitalrevyen 1993.,00:17:00,1993-12-14T23:00:00Z,BetacamSP,Årsvideo 1993 for Vital forsikring,,Nils Arne Sæbø,Vital,Vital,Master,,,,
4420,video,lukket,Videoproduksjon_Mastertape,The North Sea,00:29:11,1994-05-13T00:00:00Z,BetacamSP,"Dokumentar, engelsk versjon ""Secret of the Seas"" The North Sea. Kommentar Val Secretan.",,Arnt Øivind Siem,Univisjon,Wordview,Master,NRK,NRK,,
4425,video,lukket,Videoproduksjon_Mastertape,"Fjernord S10: ""Dansk språk"".",00:29:39,1994-01-03T23:00:00Z,BetacamSP,"Fjernord  ""Dansk språk"".",Peter Kirkegaard,May-Britt Skjelvik,UMS,,Dub,X Frode,,X Frode,
4427,video,lukket,Videoproduksjon_Mastertape,"Fjernord S10: ""Svensk språk"".",00:29:56,1994-01-03T23:00:00Z,BetacamSP,"Fjernord  ""Svensk språk"".",Anne Heith,May-Britt Skjelvik,UMS,,Master,,,,
4439,video,lukket,Videoproduksjon_Mastertape,Fra forskning til Faktura.,00:07:00,1994-01-14T23:00:00Z,BetacamSP,"Informasjonsprogram om Høyteknologisenteret i Bergen, norsk versjon",,,Univisjon,,Master,X Frode,,X Frode,
4444,video,lukket,Videoproduksjon_Mastertape,Sealift. Norsk,00:05:25,1994-03-09T23:00:00Z,BetacamSP,"Hi8 opptak om Sealift-system rdigert på Beta, norsk",,Nils Arne Sæbø,,Abrahamsen,Master,,,,
4456,video,lukket,Videoproduksjon_Mastertape,Sara Lee. Barneombudet.,,1994-04-15T00:00:00Z,BetacamSP,"Kopi av to reklamespots: Sara Lee, Barneombudet",,Nils Arne Sæbø,AG Visuell,AG Visuell,Dub,,,,
4460,video,lukket,Videoproduksjon_Mastertape,Fjernord,01:03:33,1997-05-12T00:00:00Z,"1"" C",Fjernord. Kopimaster video 15-16,,May-Britt Skjelvik,Univisjon,,Dub,,,,
4467,video,lukket,Videoproduksjon_Mastertape,Dei gamle tonar er so fine.,,1994-03-22T23:00:00Z,BetacamSP,Versjon II av program med Ragnar Vigdal som instruerer i sang av folketonar.,"Ragnar Vigdal|,|Abua Vigdal",Nils Arne Sæbø,Univisjon,Bjørndalssamlingen,Master,X Frode,,X Frode,
4471,video,lukket,Videoproduksjon_Mastertape,Hypermedia.,00:05:18,1991-04-01T00:00:00Z,BetacamSP,Schrødingers katt: Hypermedia,,Bjørn Vassnes,Univisjon,,Master,NRK,NRK,,
4472,video,lukket,Videoproduksjon_Mastertape,Melketenner.,00:07:11,1990-11-27T23:00:00Z,BetacamSP,Schrødingers katt: Melketenner,,Bjørn Vassnes,Univisjon,,Master,"NRK, X Frode",NRK,X Frode,
4473,video,lukket,Videoproduksjon_Mastertape,Piggfrie vinterdekk.,00:00:28,1992-12-31T23:00:00Z,BetacamSP,Reklamespot for piggfrie vinterdekk,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4475,video,lukket,Videoproduksjon_Mastertape,Tilbords-interiør,00:06:03,1994-05-30T00:00:00Z,BetacamSP,"Tilbords-interiør, presentasjon av Til Bords kjeden, interiør i butikk i Bergen",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4476,video,lukket,Videoproduksjon_Mastertape,AV-serie: Halvard Lerøy A.S,,1994-05-30T00:00:00Z,Betacam,"AV-serie Halvard Lerøy A.S, engelsk versjon og fransk versjon",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4480,video,lukket,Videoproduksjon_Mastertape,Gift.,00:00:40,1994-04-15T00:00:00Z,BetacamSP,Reklame for Giftinformasjonssentralen for Statens informasjonstjeneste,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4481,video,lukket,Videoproduksjon_Mastertape,Stopp narkotika timeglasset.,00:00:35,1994-04-20T00:00:00Z,BetacamSP,"Reklamespot Stopp narkotika med timeglass, versjon 4 med ""800"" telfonnummer",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4482,video,lukket,Videoproduksjon_Mastertape,Osten Norge smelter for.,,1993-07-19T00:00:00Z,BetacamSP,Reklamespot for Kavli smelteost,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
